"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X1.EB28.05.19","X1.EB29.05.19","X1.EB31.05.19","X1.LB28.05.19","X1.LB29.05.19","X1.LB31.05.19","X18KB7065603","X18KB7065604","X18KB7065605","X18KB7065606","X18KB7065607","X18KB7065608","X18KB7065609","X18KB7065610","X18KB7065611","X18KB7065612","X18KB7065613","X18KB7065614","X18KB7065615","X18KB7065616","X18KB7065617","X18KB7065618","X18KB7065619","X18KB7065620","X18KB7065621","X18KB7065622","X18KB7065623","X18KB7065624","X18KB7065625","X18KB7065626","X18KB7065627","X18KB7065628","X18KB7065629","X18KB7065630","X18KB7065631","X18KB7065632","X18KB7065633","X18KB7065634","X18KB7065635","X18KB7065636","X18KB7065637","X18KB7065638","X18KB7065639","X18KB7065640","X18KB7065641","X18KB7065642","X18KB7065644","X19KB5524101","X19KB5524102","X19KB5524103","X19KB5524104","X19KB5524105","X19KB5524106","X19KB5524107","X19KB5524108","X19KB5524109","X19KB5524110","X19KB5524111","X19KB5524112","X19KB5524113","X19KB5524114","X19KB5524115","X19KB5524116","X19KB5524117","X19KB5524118","X19KB5524119","X19KB5524120","X19KB5524121","X19KB5524122","X19KB5524123","X19KB5524124","X19KB5524125","X19KB5524126","X19KB5524127","X19KB5524128","X19KB5524129","X19KB5524130","X19KB5524131","X19KB5524132","X2.EB28.05.19","X2.EB29.05.19","X2.LB28.05.19","X2.LB29.05.19","KPH107","KPH152","PCRblank_B1","PCRblank_D1"
"Animalia","Chordata","Teleostei","Uranoscopiformes","Ammodytidae","Ammodytes",NA,"GL01_000339841",0.873015873015873,0.873015873015873,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GL01_000345775",0.907,0.891304347826087,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Anarhichas denticulatus|Anarhichas lupus|Anarhichas minor","GL01_000340199",0.933,0.922651933701657,20604,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,1,0,5,2,0,20571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes personatus","GL01_000344755",0.966,0.96551724137931,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Aves","Anseriformes","Anatidae","Somateria","Somateria spp.","GL01_000279373",1,0.869109947643979,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata","GL01_000091016",0.989,0.983425414364641,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","GL01_000673916",1,1,8427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8419,0,0,0,5,0,1,0,0,0,0,1,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis aries","GL01_000042455",1,1,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus","GL01_000484024",1,1,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","GL01_000425311",0.901,0.896174863387978,155081,0,0,0,0,26923,0,1,0,0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,1,1,0,0,1,0,1,2,1,1,0,0,4041,0,5,3,0,2,8,3,0,0,7,0,0,798,4,3,14953,5,3,1,1,72380,5,0,4,2,0,1,0,34203,0,0,0,1,2,0,0,1671,3,0,1,2,0,6,8,4,5,1,2,2,0,1
