"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2022607_1","X2022607_10","X2022607_11","X2022607_14","X2022607_15","X2022607_151","X2022607_153","X2022607_154","X2022607_156","X2022607_158","X2022607_159","X2022607_16","X2022607_160","X2022607_161","X2022607_162","X2022607_163","X2022607_164","X2022607_165","X2022607_166","X2022607_167","X2022607_17","X2022607_171","X2022607_172","X2022607_173","X2022607_175","X2022607_183","X2022607_184","X2022607_185","X2022607_186","X2022607_188","X2022607_19","X2022607_191","X2022607_192","X2022607_193","X2022607_194","X2022607_195","X2022607_196","X2022607_197","X2022607_199","X2022607_20","X2022607_200","X2022607_203","X2022607_205","X2022607_210","X2022607_22","X2022607_26","X2022607_27","X2022607_279","X2022607_30","X2022607_31","X2022607_32","X2022607_33","X2022607_36","X2022607_37","X2022607_38","X2022607_39","X2022607_40","X2022607_42","X2022607_43","X2022607_44","X2022607_47","X2022607_48","X2022607_49","X2022607_50","X2022607_52","X2022607_53","X2022607_58","X2022607_59","X2022607_6","X2022607_60","X2022607_61","X2022607_65","X2022607_69","X2022607_7","X2022607_71","X2022607_73","X2022607_74","X2022607_9","X2022607_EB071022","X2022607_EB280922","X2022607_LB081022","X2022624_106","X2022624_12","X2022624_121","X2022624_122","X2022624_20","X2022624_26","X2022624_28","X2022624_35","X2022624_37","X2022624_48","X2022624_66","X2022624_80","X2022624_81","PC_NJ"
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus","GG01_002684743",0.965,0.903409090909091,29558,0,0,1132,0,0,0,0,0,0,0,0,22129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG01_003597153",0.953216374269006,0.953216374269006,105,0,0,0,2,0,0,7,0,0,0,2,0,0,0,1,0,1,3,0,2,6,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,5,0,5,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,21,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,13,0,2,0,0,0,1,2,2,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG01_006653511",0.965,0.964912280701754,350029,12565,0,0,0,0,0,12007,25754,1,0,0,0,0,45096,6949,0,46814,0,22253,0,0,0,0,0,0,12310,10625,1,0,0,0,0,0,0,0,16201,11666,0,1,0,0,0,0,0,0,1,0,0,0,0,0,40250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,0,0,0,0,0,0,0,0,0,1,79528
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus|Icelus","Artediellus atlanticus|Icelus cataphractus|Icelus spatula","GG01_002144815",1,1,30452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Taurulus","Taurulus bubalis","GG01_003245536",1,0.988095238095238,56566,0,0,0,0,15068,0,0,16726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1334,0,0,11262,0,0,0,0,0,0,0,0,12176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG01_000035073",1,1,640131,0,0,0,0,0,0,12136,62672,14244,0,6176,0,0,0,44908,0,45272,0,50485,0,0,0,0,0,0,54894,29717,0,0,0,0,0,0,34606,16822,0,22774,13573,19457,26258,39093,27970,0,3632,0,0,0,0,0,0,15407,16886,0,1,0,0,0,29969,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,9747,0,0,0,0,0,0,0,0,0,0,43424
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis montagui","GG01_000582733",0.994,1,143217,0,0,0,0,0,0,8089,0,14391,0,0,0,0,0,0,0,0,0,13208,52678,0,0,0,0,0,27047,0,0,0,0,0,0,8351,0,0,0,0,7986,11467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_000080188",0.953,0.947368421052632,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,7,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_004693283",0.941176470588235,0.941176470588235,133261,7111,0,0,0,0,6086,0,0,0,0,1421,0,5520,0,0,0,0,0,0,0,0,0,0,20239,0,0,0,4392,0,6481,0,0,10395,5121,0,0,0,9347,0,0,21931,0,12455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,11527,0,6860,0,0,0,4371,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GG01_001698899",1,0.994082840236686,282813,0,0,0,3045,0,0,0,0,0,0,7605,0,0,1,0,0,0,0,2,0,2,0,0,5,649,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,1,3323,0,0,0,0,0,0,18998,0,0,7486,0,0,27157,0,15273,0,0,30948,0,0,16336,0,19524,0,1,0,0,4053,1,0,0,0,16713,0,2,0,1,0,0,0,0,0,7643,0,14585,0,0,11607,5722,0,1,72123
