"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_1","X2021614_10","X2021614_107","X2021614_11","X2021614_111","X2021614_120","X2021614_127","X2021614_128","X2021614_129","X2021614_131","X2021614_138","X2021614_140","X2021614_144","X2021614_145","X2021614_149","X2021614_151","X2021614_153","X2021614_158","X2021614_16","X2021614_160","X2021614_164","X2021614_167","X2021614_168","X2021614_170","X2021614_174","X2021614_179","X2021614_180","X2021614_183","X2021614_185","X2021614_19","X2021614_218","X2021614_25","X2021614_26","X2021614_27","X2021614_3","X2021614_43","X2021614_44","X2021614_48","X2021614_5","X2021614_50","X2021614_7","X2021614_8","X2021614_EB171121","X2021614_EB181121","Mock_v5_NH_br1","Mock_v5_NH_br2","Mock_v5_NH_br3","NTC_NH"
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG03_000334240",1,0.988095238095238,166600,0,0,4,0,0,5132,0,1,11377,0,0,5728,0,0,23821,13375,13184,0,1,22418,4950,49960,0,7837,8697,0,0,3,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,42,18,48,0
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii","GG03_000346930",1,0.947058823529412,12732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11922,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,364,304,139,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Hippoglossoides","Hippoglossoides platessoides","GG03_001263213",0.995,0.893617021276596,89972,0,1,0,0,5,1,6,0,3593,0,3,0,9,0,1,8,1,8,0,9,3,32,0,5,1,2,0,1,0,0,0,6,0,0,0,0,0,0,7522,3,0,0,0,1,26555,16872,35324,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Platichthys flesus","GG03_000000858",0.97,0.970588235294118,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,33,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","GG03_000546009",0.918,0.918604651162791,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,106,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Microstomus","Microstomus kitt","GG03_000012030",1,0.982248520710059,797439,4,4,3,0,19,4,15764,0,37665,1,11,0,42391,0,30,17752,7,59117,4,30635,8,176038,0,15,1,16620,0,10,0,15,7,12394,0,1,2,16,1,0,16395,25914,2,0,0,8,113105,68410,165066,0
"Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Zeugopterus","Zeugopterus punctatus","GG03_000751689",1,1,91266,0,0,0,0,0,0,0,0,0,0,23376,0,0,0,1,1,7061,0,0,0,0,28443,0,32301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,41,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar","GG03_000477770",0.971,0.970930232558139,319993,0,7,13,0,0,0,0,4,8,4,32162,0,22943,0,14255,11702,44566,0,0,6,17442,21900,0,154351,1,3,1,7,0,9,2,0,0,1,0,4,0,3,2,0,0,0,0,0,248,105,244,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","GG03_001422289",0.994,0.994117647058824,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
"Animalia","Chordata","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus","GG03_000009205",1,1,351,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,73,113,0
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes|Hyperoplus","Ammodytes marinus|Hyperoplus lanceolatus|Ammodytes tobianus","GG03_000033000",1,0.994082840236686,290,0,0,0,0,0,0,0,0,0,0,0,261,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,7,0
"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","GG03_001442945",1,1,13667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13663,0,0,0,0,0,0,0,4,0,0,0
"Animalia","Chordata","Mammalia","Cetacea","Phocoenidae","Phocoena","Phocoena phocoena","GG03_000747442",1,1,161,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Animalia","Echinodermata","Echinoidea",NA,NA,NA,NA,"GG03_000022825",0.715909090909091,0.715909090909091,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,86,477,0
"Animalia","Echinodermata","Echinoidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","GG03_000430765",0.994,0.687830687830688,3266,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,5,0,0,2219,0,0,0,23,0,0,1,0,3,0,0,0,0,0,0,979,0,0,0,0,0,0,1,0,0
