"kingdom","phylum","class","order","family","genus","species","id","annotated_pident","best_identity","tot_reads","X2021614_173","X2021614_21","X2021614_30","X2021614_34","X2021614_6","X2021614_98","X2021614_EB221121_3","X2022607_100","X2022607_103","X2022607_104","X2022607_105","X2022607_106","X2022607_107","X2022607_108","X2022607_109","X2022607_110","X2022607_111","X2022607_148","X2022607_149","X2022607_150","X2022607_152","X2022607_155","X2022607_170","X2022607_174","X2022607_176","X2022607_177","X2022607_178","X2022607_18","X2022607_181","X2022607_182","X2022607_187","X2022607_189","X2022607_198","X2022607_2","X2022607_201","X2022607_204","X2022607_206","X2022607_207","X2022607_208","X2022607_209","X2022607_21","X2022607_211","X2022607_23","X2022607_246","X2022607_25","X2022607_256","X2022607_28","X2022607_29","X2022607_3","X2022607_34","X2022607_4","X2022607_41","X2022607_51","X2022607_54","X2022607_55","X2022607_62","X2022607_63","X2022607_64","X2022607_66","X2022607_68","X2022607_70","X2022607_72","X2022607_75","X2022607_76","X2022607_8","X2022607_80","X2022607_81","X2022607_82","X2022607_83","X2022607_84","X2022607_85","X2022607_86","X2022607_87","X2022607_88","X2022607_91","X2022607_92","X2022607_93","X2022607_94","X2022607_95","X2022607_96","X2022607_97","X2022607_98","X2022607_99","X2022607_EB03062022","X2022607_EB160922_2","X2022607_EB270922","X2022607_LB08062022","X2022607_LB160922","NTC_NI","PC_NI"
"Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas spp.","GG01_000489878",1,0.95906432748538,1296259,0,3,3,0,1,1,6,0,17151,16030,21163,0,38780,17100,948,3037,25139,27131,37813,20565,29415,19069,20159,17057,6573,7458,4855,13,750,3663,29859,14413,4312,14972,0,19364,8588,4062,1122,37171,88476,36027,0,0,45415,0,43970,23,31743,0,5788,4666,2,513,2956,26812,29435,23048,3779,57727,4,1,4,0,27545,16123,5327,27587,6264,15992,688,4,858,2898,5101,43879,38696,30139,20456,43745,10021,4414,1,5,0,3,2,0,0,128376
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius","GG01_000063374",1,1,305309,0,6,0,0,0,0,1,0,0,0,0,0,23732,0,0,14494,0,28076,0,0,9808,0,12323,17305,19352,14945,0,0,0,0,17734,8625,4,0,0,2733,10003,1,6087,4,0,16,0,0,12019,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,6077,0,0,0,0,0,6906,13593,0,0,0,10421,0,0,0,0,0,0,0,3,0,0,0,71026
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Taurulus","Taurulus bubalis","GG01_001206099",1,0.988095238095238,79432,0,0,0,0,0,0,0,0,0,0,17848,1,0,0,0,0,21316,0,0,0,8021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32237,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","GG01_000020875",1,1,727199,0,7,0,0,0,0,3,0,16160,0,0,1,27639,26131,1,1,0,90914,26871,0,38523,27204,4783,9,0,15344,3,6,3445,8835,0,23499,10361,9,0,3,0,14831,2,24763,0,9876,1,0,5,0,21747,12,1,0,0,22234,0,2,2,0,0,0,17359,47465,0,1,4,0,28663,0,27962,0,1,6547,3843,2,0,0,10203,12944,22882,0,7536,50738,0,0,0,0,0,3,0,0,0,77818
"Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","GG01_003276127",1,1,3944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3253,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688
"Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis montagui","GG01_000366815",0.93,0.929824561403509,124963,0,0,2,0,0,0,0,0,0,0,0,0,0,0,26428,0,0,0,27889,0,18303,0,1,1,0,0,0,5,11390,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,11930,0,0,3,0,0,0,0,0,28995,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Scorpaeniformes","Scorpaenidae","Sebastes","Sebastes spp.","GG01_003811191",0.928994082840237,0.928994082840237,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Leptoclinus","Leptoclinus maculatus","GG01_000984596",1,0.994082840236686,161132,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1269,0,0,0,0,3,12150,0,0,0,0,0,0,0,3,0,0,2,1,0,3,3,0,11,0,1,16254,0,0,8,0,0,0,1,0,2573,0,0,0,19193,0,0,0,0,0,0,0,0,0,0,0,2813,1,0,0,0,3471,0,0,1550,0,0,4516,4972,0,0,0,0,0,0,0,92331
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes polaris","GG01_005537554",0.976,0.964497041420118,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Zoarces","Zoarces viviparus","GG01_002061511",0.994,0.935672514619883,29348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7113,0,0,0,0,0,0,0,0,0,0,0,1,0,22234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
